genus,species,rank,infra_epithet,scientific_name,common_names,fnct_page,source
Citrullus,lanatus,variety,citroides,Citrullus lanatus var. citroides,,566,"Diggs, Lipscomb & O'Kennon 1999, p. 566"
Citrullus,lanatus,variety,lanatus,Citrullus lanatus var. lanatus,Watermelon; Sandía,565,"Diggs, Lipscomb & O'Kennon 1999, p. 565"
Citrus,paradisi,species,,Citrus paradisi,Texas Red Grapefruit,1418,"Diggs, Lipscomb & O'Kennon 1999, p. 1418"
Cladium,mariscoides,species,,Cladium mariscoides,Twig Rush,1132,"Diggs, Lipscomb & O'Kennon 1999, p. 1132"
Cladium,mariscus,subspecies,jamaicense,Cladium mariscus subsp. jamaicense,Jamaican Saw-Grass; Saw-Grass,1132,"Diggs, Lipscomb & O'Kennon 1999, p. 1132"
Claytonia,virginica,species,,Claytonia virginica,Virginia Spring-Beauty,908,"Diggs, Lipscomb & O'Kennon 1999, p. 908"
Clematis,crispa,species,,Clematis crispa,Curly Clematis; Blue-Jasmine,921,"Diggs, Lipscomb & O'Kennon 1999, p. 921"
Clematis,drummondii,species,,Clematis drummondii,Texas Virgin’s-Bower; Old-Man’s-Beard; Barbas De Chivato; Love-In-The-Mist,921,"Diggs, Lipscomb & O'Kennon 1999, p. 921"
Clematis,pitcheri,species,,Clematis pitcheri,Leather-Flower; Bluebell; Pitcher's Clematis; Pitcher-Flower,921,"Diggs, Lipscomb & O'Kennon 1999, p. 921"
Clematis,reticulata,species,,Clematis reticulata,Net-Leaf Clematis,921,"Diggs, Lipscomb & O'Kennon 1999, p. 921"
Clematis,terniflora,species,,Clematis terniflora,Sweet-Autumn Clematis,921,"Diggs, Lipscomb & O'Kennon 1999, p. 921"
Clematis,texensis,species,,Clematis texensis,Scarlet Clematis; Red Leather-Flower,922,"Diggs, Lipscomb & O'Kennon 1999, p. 922"
Cleome,hassleriana,species,,Cleome hassleriana,Spiderplant; Spider-Flower; Spiny Spider-Flower; Pink-Queen,506,"Diggs, Lipscomb & O'Kennon 1999, p. 506"
Cleomella,angustifolia,species,,Cleomella angustifolia,Narrow-Leaf Rhombopod,506,"Diggs, Lipscomb & O'Kennon 1999, p. 506"
Clitoria,mariana,species,,Clitoria mariana,Spoonflower; Atlantic Pigeon-Wings,642,"Diggs, Lipscomb & O'Kennon 1999, p. 642"
Cnidoscolus,texanus,species,,Cnidoscolus texanus,Texas Bull-Nettle; Mala Mujer; Tread - Softly,596,"Diggs, Lipscomb & O'Kennon 1999, p. 596"
Cocculus,carolinus,species,,Cocculus carolinus,Carolina Snailseed; Coralberry; Coralbead; Carolina Moonseed; Red-Berry Moonseed,824,"Diggs, Lipscomb & O'Kennon 1999, p. 824"
Coelorachis,cylindrica,species,,Coelorachis cylindrica,Carolina Joint-Tail,1258,"Diggs, Lipscomb & O'Kennon 1999, p. 1258"
Collinsia,violacea,species,,Collinsia violacea,Violet Collinsia,999,"Diggs, Lipscomb & O'Kennon 1999, p. 999"
Colocasia,esculenta,species,,Colocasia esculenta,Taro; Wild Taro; Kalo; Dasheen; Eddo; Cocoyam,1093,"Diggs, Lipscomb & O'Kennon 1999, p. 1093"
Colubrina,texensis,species,,Colubrina texensis,Texas Snakewood; Texas Colubrina; Hog-Plum,932,"Diggs, Lipscomb & O'Kennon 1999, p. 932"
Comandra,umbellata,subspecies,pallida,Comandra umbellata subsp. pallida,Bastard Toadflax; Western Comandra,979,"Diggs, Lipscomb & O'Kennon 1999, p. 979"
Commelina,caroliniana,species,,Commelina caroliniana,,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Commelina,communis,species,,Commelina communis,Common Dayflower,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Commelina,diffusa,species,,Commelina diffusa,,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Commelina,erecta,species,,Commelina erecta,Erect Dayflower; Hierba De Pollo,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Commelina,erecta,variety,angustifolia,Commelina erecta var. angustifolia,Narrow-Leaf Dayflower,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Commelina,erecta,variety,deamiana,Commelina erecta var. deamiana,,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Commelina,virginica,species,,Commelina virginica,Virginia Dayflower,1100,"Diggs, Lipscomb & O'Kennon 1999, p. 1100"
Condalia,hookeri,species,,Condalia hookeri,Bluewood; Brasil; Brazil; Capul Negro,933,"Diggs, Lipscomb & O'Kennon 1999, p. 933"
Conium,maculatum,species,,Conium maculatum,Poison-Hemlock; Poison-Parsley,248,"Diggs, Lipscomb & O'Kennon 1999, p. 248"
Conringia,orientalis,species,,Conringia orientalis,Treacle Hare’s-Ear; Hare’s-Ear-Mustard; Hare’sear,464,"Diggs, Lipscomb & O'Kennon 1999, p. 464"
Consolida,ajacis,species,,Consolida ajacis,Rocket Larkspur; Annual Larkspur; Espuela De Caballero,922,"Diggs, Lipscomb & O'Kennon 1999, p. 922"
Consolida,orientalis,species,,Consolida orientalis,,922,"Diggs, Lipscomb & O'Kennon 1999, p. 922"
Convolvulus,arvensis,species,,Convolvulus arvensis,Possession-Vine; Bindweed; Field Bindweed; Common Bindweed; Cornbind,551,"Diggs, Lipscomb & O'Kennon 1999, p. 551"
Convolvulus,equitans,species,,Convolvulus equitans,Gray Bindweed; Texas Bindweed,552,"Diggs, Lipscomb & O'Kennon 1999, p. 552"
Conyza,canadensis,species,,Conyza canadensis,Horseweed,341,"Diggs, Lipscomb & O'Kennon 1999, p. 341"
Conyza,canadensis,variety,glabrata,Conyza canadensis var. glabrata,,341,"Diggs, Lipscomb & O'Kennon 1999, p. 341"
Conyza,ramosissima,species,,Conyza ramosissima,Low Fleabane; Low Conyza; Spreading Fleabane,341,"Diggs, Lipscomb & O'Kennon 1999, p. 341"
Cooperia,drummondii,species,,Cooperia drummondii,Cebolleta; Rain-Lily,1200,"Diggs, Lipscomb & O'Kennon 1999, p. 1200"
Cooperia,pedunculata,species,,Cooperia pedunculata,Giant Rain-Lily; Prairie Rain-Lily; White Rain-Lily; Wide-Leaf Rain-Lily,1200,"Diggs, Lipscomb & O'Kennon 1999, p. 1200"
Corallorrhiza,odontorhiza,species,,Corallorrhiza odontorhiza,,1215,"Diggs, Lipscomb & O'Kennon 1999, p. 1215"
Corallorrhiza,wisteriana,species,,Corallorrhiza wisteriana,Spring Coralroot; Wister’s Coralroot,1215,"Diggs, Lipscomb & O'Kennon 1999, p. 1215"
Coreopsis,basalis,species,,Coreopsis basalis,,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coreopsis,grandiflora,variety,longipes,Coreopsis grandiflora var. longipes,,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coreopsis,lanceolata,species,,Coreopsis lanceolata,Lance Coreopsis,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coreopsis,nuecensis,species,,Coreopsis nuecensis,,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coreopsis,nuecensoides,species,,Coreopsis nuecensoides,,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coreopsis,tinctoria,species,,Coreopsis tinctoria,Plains Coreopsis; Cardamine Coreopsis; Manzanilla Silvestre; Calliopsis,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coreopsis,wrightii,species,,Coreopsis wrightii,Rock Coreopsis,342,"Diggs, Lipscomb & O'Kennon 1999, p. 342"
Coriandrum,sativum,species,,Coriandrum sativum,Cilantro; Coriander; Chinese-Parsley,248,"Diggs, Lipscomb & O'Kennon 1999, p. 248"
Cornus,drummondii,species,,Cornus drummondii,Rough-Leaf Dogwood,561,"Diggs, Lipscomb & O'Kennon 1999, p. 561"
Cornus,florida,species,,Cornus florida,Flowering Dogwood; Eastern Dogwood,561,"Diggs, Lipscomb & O'Kennon 1999, p. 561"
Coronilla,varia,species,,Coronilla varia,Crown-Vetch,642,"Diggs, Lipscomb & O'Kennon 1999, p. 642"
Coronopus,didymus,species,,Coronopus didymus,Swine Wartcress,465,"Diggs, Lipscomb & O'Kennon 1999, p. 465"
Cortaderia,selloana,species,,Cortaderia selloana,,1223,"Diggs, Lipscomb & O'Kennon 1999, p. 1223"
Corydalis,aurea,subspecies,occidentalis,Corydalis aurea subsp. occidentalis,Golden Corydalis,720,"Diggs, Lipscomb & O'Kennon 1999, p. 720"
Corydalis,crystallina,species,,Corydalis crystallina,Mealy Corydalis,720,"Diggs, Lipscomb & O'Kennon 1999, p. 720"
Corydalis,curvisiliqua,species,,Corydalis curvisiliqua,,720,"Diggs, Lipscomb & O'Kennon 1999, p. 720"
Corydalis,curvisiliqua,subspecies,curvisiliqua,Corydalis curvisiliqua subsp. curvisiliqua,Curve-Pod Corydalis,720,"Diggs, Lipscomb & O'Kennon 1999, p. 720"
Corydalis,curvisiliqua,subspecies,grandibracteata,Corydalis curvisiliqua subsp. grandibracteata,,720,"Diggs, Lipscomb & O'Kennon 1999, p. 720"
Corydalis,micrantha,species,,Corydalis micrantha,,722,"Diggs, Lipscomb & O'Kennon 1999, p. 722"
Corydalis,micrantha,subspecies,australis,Corydalis micrantha subsp. australis,Southern Corydalis,722,"Diggs, Lipscomb & O'Kennon 1999, p. 722"
Corydalis,micrantha,subspecies,micrantha,Corydalis micrantha subsp. micrantha,Small-Flower Corydalis; Slender Fumewort,722,"Diggs, Lipscomb & O'Kennon 1999, p. 722"
Corydalis,micrantha,subspecies,texensis,Corydalis micrantha subsp. texensis,Texas Corydalis,722,"Diggs, Lipscomb & O'Kennon 1999, p. 722"
Coryphantha,echinus,species,,Coryphantha echinus,Rhinoceros Cactus,485,"Diggs, Lipscomb & O'Kennon 1999, p. 485"
Coryphantha,sulcata,species,,Coryphantha sulcata,Pineapple Cactus; Finger Cactus,485,"Diggs, Lipscomb & O'Kennon 1999, p. 485"
Cotinus,obovatus,species,,Cotinus obovatus,American Smoketree; Smokebush; Chittamwood,231,"Diggs, Lipscomb & O'Kennon 1999, p. 231"
Crassula,aquatica,species,,Crassula aquatica,Water Pigmyweed,562,"Diggs, Lipscomb & O'Kennon 1999, p. 562"
Crataegus,brachyacantha,species,,Crataegus brachyacantha,Blueberry Hawthorn,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,crus-galli,species,,Crataegus crus-galli,Cockspur Hawthorn; Bush’s Hawthorn,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,dallasiana,species,,Crataegus dallasiana,,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,engelmannii,species,,Crataegus engelmannii,,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,marshallii,species,,Crataegus marshallii,Parsley Hawthorn,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,mollis,species,,Crataegus mollis,Redhaw; Summerhaw; Downyhaw,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,phaenopyrum,species,,Crataegus phaenopyrum,Washington-Thorn,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,reverchonii,species,,Crataegus reverchonii,Reverchon’s Hawthorn,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,spathulata,species,,Crataegus spathulata,Little-Hip Hawthorn; Pasture Hawthorn,942,"Diggs, Lipscomb & O'Kennon 1999, p. 942"
Crataegus,viridis,species,,Crataegus viridis,Greenhaw,944,"Diggs, Lipscomb & O'Kennon 1999, p. 944"
Crepis,pulchra,species,,Crepis pulchra,Showy Hawk’s-Beard,344,"Diggs, Lipscomb & O'Kennon 1999, p. 344"
Croptilon,divaricatum,species,,Croptilon divaricatum,Slender Goldenweed; Scratch Daisy; Spreading Golden-Aster,344,"Diggs, Lipscomb & O'Kennon 1999, p. 344"
Croptilon,hookerianum,species,,Croptilon hookerianum,,344,"Diggs, Lipscomb & O'Kennon 1999, p. 344"
Croptilon,hookerianum,variety,hookerianum,Croptilon hookerianum var. hookerianum,,344,"Diggs, Lipscomb & O'Kennon 1999, p. 344"
Croptilon,hookerianum,variety,validum,Croptilon hookerianum var. validum,,344,"Diggs, Lipscomb & O'Kennon 1999, p. 344"
Crotalaria,purshii,species,,Crotalaria purshii,Pursh’s Crotalaria,643,"Diggs, Lipscomb & O'Kennon 1999, p. 643"
Crotalaria,retusa,species,,Crotalaria retusa,,643,"Diggs, Lipscomb & O'Kennon 1999, p. 643"
Crotalaria,sagittalis,species,,Crotalaria sagittalis,Arrow Crotalaria,643,"Diggs, Lipscomb & O'Kennon 1999, p. 643"
Crotalaria,spectabilis,species,,Crotalaria spectabilis,Showy Crotalaria,644,"Diggs, Lipscomb & O'Kennon 1999, p. 644"
Croton,capitatus,species,,Croton capitatus,Woolly Croton; Hogwort,599,"Diggs, Lipscomb & O'Kennon 1999, p. 599"
Croton,capitatus,variety,lindheimeri,Croton capitatus var. lindheimeri,,599,"Diggs, Lipscomb & O'Kennon 1999, p. 599"
Croton,fruticulosus,species,,Croton fruticulosus,Encinilla; Hierba Loca,599,"Diggs, Lipscomb & O'Kennon 1999, p. 599"
Croton,glandulosus,species,,Croton glandulosus,Tropic Croton,599,"Diggs, Lipscomb & O'Kennon 1999, p. 599"
Croton,glandulosus,variety,lindheimeri,Croton glandulosus var. lindheimeri,Lindheimer’s Croton,600,"Diggs, Lipscomb & O'Kennon 1999, p. 600"
Croton,glandulosus,variety,septentrionalis,Croton glandulosus var. septentrionalis,Northern Croton,600,"Diggs, Lipscomb & O'Kennon 1999, p. 600"
Croton,lindheimerianus,species,,Croton lindheimerianus,Three-Seed Croton,600,"Diggs, Lipscomb & O'Kennon 1999, p. 600"
Croton,michauxii,species,,Croton michauxii,Narrow-Leaf Rushfoil,600,"Diggs, Lipscomb & O'Kennon 1999, p. 600"
Croton,monanthogynus,species,,Croton monanthogynus,Doveweed; Prairie-Tea; One-Seed Croton,600,"Diggs, Lipscomb & O'Kennon 1999, p. 600"
Croton,texensis,species,,Croton texensis,Texas Croton; Skunkweed,600,"Diggs, Lipscomb & O'Kennon 1999, p. 600"
Cryptantha,texana,species,,Cryptantha texana,Texas Cryptantha,446,"Diggs, Lipscomb & O'Kennon 1999, p. 446"
Cryptotaenia,canadensis,species,,Cryptotaenia canadensis,,249,"Diggs, Lipscomb & O'Kennon 1999, p. 249"
Cucumis,anguria,species,,Cucumis anguria,Bur Gherkin; West Indian Gherkin,566,"Diggs, Lipscomb & O'Kennon 1999, p. 566"
Cucumis,melo,species,,Cucumis melo,Muskmelon; Melon; Cantelope,566,"Diggs, Lipscomb & O'Kennon 1999, p. 566"
Cucumis,sativus,species,,Cucumis sativus,,566,"Diggs, Lipscomb & O'Kennon 1999, p. 566"
Cucurbita,foetidissima,species,,Cucurbita foetidissima,Buffalo Gourd; Stinking Gourd; Foetid Gourd; Calabazilla; Chilicote; Calabacilla Loca; Chilicoyote,568,"Diggs, Lipscomb & O'Kennon 1999, p. 568"
Cucurbita,maxima,species,,Cucurbita maxima,,569,"Diggs, Lipscomb & O'Kennon 1999, p. 569"
Cucurbita,moschata,species,,Cucurbita moschata,,569,"Diggs, Lipscomb & O'Kennon 1999, p. 569"
Cucurbita,pepo,species,,Cucurbita pepo,,568,"Diggs, Lipscomb & O'Kennon 1999, p. 568"
Cucurbita,texana,species,,Cucurbita texana,Texas Gourd,568,"Diggs, Lipscomb & O'Kennon 1999, p. 568"
Cunila,origanoides,species,,Cunila origanoides,Maryland Stone-Mist; American Dittany,756,"Diggs, Lipscomb & O'Kennon 1999, p. 756"
Cuscuta,cephalanthi,species,,Cuscuta cephalanthi,Buttonbush Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,compacta,species,,Cuscuta compacta,Compact Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,coryli,species,,Cuscuta coryli,Hazel Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,cuspidata,species,,Cuscuta cuspidata,Cusp Dodder; Cuspidate Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,exaltata,species,,Cuscuta exaltata,Tree Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,glomerata,species,,Cuscuta glomerata,Cluster Dodder; Glomerate Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,gronovii,species,,Cuscuta gronovii,Gronovius’ Dodder; Common Dodder,573,"Diggs, Lipscomb & O'Kennon 1999, p. 573"
Cuscuta,indecora,species,,Cuscuta indecora,,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,indecora,variety,indecora,Cuscuta indecora var. indecora,Showy Dodder; Pretty Dodder; Large-Seed Dodder,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,indecora,variety,longisepala,Cuscuta indecora var. longisepala,Long-Sepal Dodder,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,obtusiflora,variety,glandulosa,Cuscuta obtusiflora var. glandulosa,Red Dodder,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,pentagona,species,,Cuscuta pentagona,,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,pentagona,variety,glabrior,Cuscuta pentagona var. glabrior,R.d,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,pentagona,variety,pentagona,Cuscuta pentagona var. pentagona,Field Dodder; Five-Angled Dodder,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cuscuta,pentagona,variety,pubescens,Cuscuta pentagona var. pubescens,,574,"Diggs, Lipscomb & O'Kennon 1999, p. 574"
Cyclanthera,dissecta,species,,Cyclanthera dissecta,Cut-Leaf Cyclanthera; Bur-Cucumber,569,"Diggs, Lipscomb & O'Kennon 1999, p. 569"
Cycloloma,atriplicifolium,species,,Cycloloma atriplicifolium,Winged-Pigweed; Tumble-Ringwing; Plains Tumbleweed,540,"Diggs, Lipscomb & O'Kennon 1999, p. 540"
Cyclospermum,leptophyllum,species,,Cyclospermum leptophyllum,Slim-Lobe Celery,249,"Diggs, Lipscomb & O'Kennon 1999, p. 249"
Cymopterus,macrorhizus,species,,Cymopterus macrorhizus,Big-Root Wavewing,249,"Diggs, Lipscomb & O'Kennon 1999, p. 249"
Cynanchum,barbigerum,species,,Cynanchum barbigerum,Bearded Swallow-Wort; Thicket Threadvine,282,"Diggs, Lipscomb & O'Kennon 1999, p. 282"
Cynanchum,laeve,species,,Cynanchum laeve,Bluevine; Sandvine; Smooth Swallow-Wort; Smooth Anglepod,282,"Diggs, Lipscomb & O'Kennon 1999, p. 282"
Cynanchum,racemosum,variety,unifarium,Cynanchum racemosum var. unifarium,Talayote,282,"Diggs, Lipscomb & O'Kennon 1999, p. 282"
Cynodon,dactylon,species,,Cynodon dactylon,Bermuda Grass; Bahama Grass,1259,"Diggs, Lipscomb & O'Kennon 1999, p. 1259"
Cynoglossum,virginianum,species,,Cynoglossum virginianum,Blue Comfrey; Blue Hound’s-Tongue; Wild Comfrey,446,"Diggs, Lipscomb & O'Kennon 1999, p. 446"
Cynoglossum,zeylanicum,species,,Cynoglossum zeylanicum,,446,"Diggs, Lipscomb & O'Kennon 1999, p. 446"
Cynosciadium,digitatum,species,,Cynosciadium digitatum,Finger Dogshade,249,"Diggs, Lipscomb & O'Kennon 1999, p. 249"
Cyperus,acuminatus,species,,Cyperus acuminatus,Taper-Leaf Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,articulatus,species,,Cyperus articulatus,Chintúl; Jointed Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,bipartitus,species,,Cyperus bipartitus,,1144,"Diggs, Lipscomb & O'Kennon 1999, p. 1144"
Cyperus,compressus,species,,Cyperus compressus,Poorland Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,croceus,species,,Cyperus croceus,Baldwin Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,difformis,species,,Cyperus difformis,,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,digitatus,species,,Cyperus digitatus,,1144,"Diggs, Lipscomb & O'Kennon 1999, p. 1144"
Cyperus,echinatus,species,,Cyperus echinatus,Globe Flat Sedge; Cylinder Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,elegans,species,,Cyperus elegans,Sticky Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,erythrorhizos,species,,Cyperus erythrorhizos,Red-Root Flat Sedge,1136,"Diggs, Lipscomb & O'Kennon 1999, p. 1136"
Cyperus,esculentus,species,,Cyperus esculentus,Yellow Nut-Grass; Chufa; Northern Nut-Grass,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,flavescens,species,,Cyperus flavescens,Yellow Flat Sedge,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,haspan,species,,Cyperus haspan,Sheathed Flat Sedge,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,hystricinus,species,,Cyperus hystricinus,,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,involucratus,species,,Cyperus involucratus,Umbrella-Plant; Umbrella Flat Sedge,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,lanceolatus,species,,Cyperus lanceolatus,,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,lupulinus,species,,Cyperus lupulinus,Slender Flat Sedge,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,ochraceus,species,,Cyperus ochraceus,,1144,"Diggs, Lipscomb & O'Kennon 1999, p. 1144"
Cyperus,odoratus,species,,Cyperus odoratus,Fragrant Flat Sedge,1138,"Diggs, Lipscomb & O'Kennon 1999, p. 1138"
Cyperus,plukenetii,species,,Cyperus plukenetii,,1140,"Diggs, Lipscomb & O'Kennon 1999, p. 1140"
Cyperus,polystachyos,species,,Cyperus polystachyos,,1140,"Diggs, Lipscomb & O'Kennon 1999, p. 1140"
Cyperus,pseudovegetus,species,,Cyperus pseudovegetus,,1140,"Diggs, Lipscomb & O'Kennon 1999, p. 1140"
Cyperus,reflexus,species,,Cyperus reflexus,Bent-Awn Flat Sedge,1140,"Diggs, Lipscomb & O'Kennon 1999, p. 1140"
Cyperus,retroflexus,species,,Cyperus retroflexus,One-Flower Flat Sedge,1142,"Diggs, Lipscomb & O'Kennon 1999, p. 1142"
Cyperus,retrorsus,species,,Cyperus retrorsus,,1142,"Diggs, Lipscomb & O'Kennon 1999, p. 1142"
Cyperus,rotundus,species,,Cyperus rotundus,Nut-Grass; Nut Sedge; Coco-Grass; Purple Nut-Grass,1142,"Diggs, Lipscomb & O'Kennon 1999, p. 1142"
Cyperus,schweinitzii,species,,Cyperus schweinitzii,Schweinitz’ Flat Sedge,1142,"Diggs, Lipscomb & O'Kennon 1999, p. 1142"
Cyperus,setigerus,species,,Cyperus setigerus,,1142,"Diggs, Lipscomb & O'Kennon 1999, p. 1142"
Cyperus,squarrosus,species,,Cyperus squarrosus,Bearded Flat Sedge,1142,"Diggs, Lipscomb & O'Kennon 1999, p. 1142"
Cyperus,strigosus,species,,Cyperus strigosus,False Nut-Grass,1144,"Diggs, Lipscomb & O'Kennon 1999, p. 1144"
Cyperus,surinamensis,species,,Cyperus surinamensis,Tropical Flat Sedge,1144,"Diggs, Lipscomb & O'Kennon 1999, p. 1144"
Dactylis,glomerata,species,,Dactylis glomerata,Orchard Grass; Cock’s-Foot,1259,"Diggs, Lipscomb & O'Kennon 1999, p. 1259"
Dactyloctenium,aegyptium,species,,Dactyloctenium aegyptium,Crowfoot; Durban Crowfoot Grass; Egyptian Crowfoot Grass,1259,"Diggs, Lipscomb & O'Kennon 1999, p. 1259"
Dalea,aurea,species,,Dalea aurea,,646,"Diggs, Lipscomb & O'Kennon 1999, p. 646"
Dalea,candida,species,,Dalea candida,,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,candida,variety,oligophylla,Dalea candida var. oligophylla,,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,compacta,variety,pubescens,Dalea compacta var. pubescens,Showy Prairie-Clover; Prairie-Clover,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,emarginata,species,,Dalea emarginata,,651,"Diggs, Lipscomb & O'Kennon 1999, p. 651"
Dalea,enneandra,species,,Dalea enneandra,Big-Top Dalea,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,frutescens,species,,Dalea frutescens,Black Dalea,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,hallii,species,,Dalea hallii,Hall’s Dalea,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,lanata,species,,Dalea lanata,Woolly Dalea,648,"Diggs, Lipscomb & O'Kennon 1999, p. 648"
Dalea,lasiathera,species,,Dalea lasiathera,Purple Dalea,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,multiflora,species,,Dalea multiflora,Round-Head Dalea; White Prairie-Clover,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,nana,species,,Dalea nana,Dwarf Dalea,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,nana,variety,carnescens,Dalea nana var. carnescens,,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,phleoides,variety,microphylla,Dalea phleoides var. microphylla,Longbract Prairie-Clover,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,phleoides,variety,phleoides,Dalea phleoides var. phleoides,,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,pogonathera,species,,Dalea pogonathera,,651,"Diggs, Lipscomb & O'Kennon 1999, p. 651"
Dalea,purpurea,species,,Dalea purpurea,Purple Prairie-Clover; Prairie-Clover,650,"Diggs, Lipscomb & O'Kennon 1999, p. 650"
Dalea,tenuis,species,,Dalea tenuis,,651,"Diggs, Lipscomb & O'Kennon 1999, p. 651"
Dalea,villosa,variety,grisea,Dalea villosa var. grisea,,651,"Diggs, Lipscomb & O'Kennon 1999, p. 651"
Danthonia,spicata,species,,Danthonia spicata,Poverty-Oats; Poverty Danthonia; Poverty Oat Grass,1260,"Diggs, Lipscomb & O'Kennon 1999, p. 1260"
Dasistoma,macrophylla,species,,Dasistoma macrophylla,Mullein Seymeria; Mullein Foxglove,999,"Diggs, Lipscomb & O'Kennon 1999, p. 999"
Datura,stramonium,species,,Datura stramonium,Jimsonweed; Jamestown Weed; Stramonium; Toloache; Common Thorn-Apple,1020,"Diggs, Lipscomb & O'Kennon 1999, p. 1020"
Datura,wrightii,species,,Datura wrightii,Indian-Apple; Angel-Trumpet; Sacred Datura,1020,"Diggs, Lipscomb & O'Kennon 1999, p. 1020"
Daucosma,laciniatum,species,,Daucosma laciniatum,Meadow Daucosma,249,"Diggs, Lipscomb & O'Kennon 1999, p. 249"
Daucus,carota,species,,Daucus carota,Wild Carrot; Queen-Anne’s-Lace,250,"Diggs, Lipscomb & O'Kennon 1999, p. 250"
Daucus,pusillus,species,,Daucus pusillus,Rattlesnake-Weed; Southwestern Carrot; Seedticks,250,"Diggs, Lipscomb & O'Kennon 1999, p. 250"
Delphinium,carolinianum,species,,Delphinium carolinianum,,922,"Diggs, Lipscomb & O'Kennon 1999, p. 922"
Delphinium,carolinianum,subspecies,carolinianum,Delphinium carolinianum subsp. carolinianum,Wild Blue Larkspur; Carolina Larkspur; Blue Larkspur,924,"Diggs, Lipscomb & O'Kennon 1999, p. 924"
