genus,species,rank,infra_epithet,scientific_name,common_names,fnct_page,source
Scirpus,pendulus,species,,Scirpus pendulus,,1162,"Diggs, Lipscomb & O'Kennon 1999, p. 1162"
Scleria,ciliata,species,,Scleria ciliata,Fringed Nut-Rush; Ciliate Nut-Rush,1164,"Diggs, Lipscomb & O'Kennon 1999, p. 1164"
Scleria,oligantha,species,,Scleria oligantha,Little-Head Nut-Rush; Few-Flower Nut-Rush,1164,"Diggs, Lipscomb & O'Kennon 1999, p. 1164"
Scleria,triglomerata,species,,Scleria triglomerata,Whip-Grass; Whip Nut-Rush; Tall Nut-Rush,1164,"Diggs, Lipscomb & O'Kennon 1999, p. 1164"
Scleria,verticillata,species,,Scleria verticillata,Low Nut-Rush; Whorled Nut-Rush,1164,"Diggs, Lipscomb & O'Kennon 1999, p. 1164"
Sclerochloa,dura,species,,Sclerochloa dura,Hard Grass,1316,"Diggs, Lipscomb & O'Kennon 1999, p. 1316"
Scrophularia,marilandica,species,,Scrophularia marilandica,Carpenter’s-Square; Maryland Figwort,1010,"Diggs, Lipscomb & O'Kennon 1999, p. 1010"
Scutellaria,cardiophylla,species,,Scutellaria cardiophylla,Heart-Leaf Skullcap,778,"Diggs, Lipscomb & O'Kennon 1999, p. 778"
Scutellaria,drummondii,species,,Scutellaria drummondii,Drummond’s Skullcap,778,"Diggs, Lipscomb & O'Kennon 1999, p. 778"
Scutellaria,drummondii,variety,edwardsiana,Scutellaria drummondii var. edwardsiana,,779,"Diggs, Lipscomb & O'Kennon 1999, p. 779"
Scutellaria,lateriflora,species,,Scutellaria lateriflora,Mad-Dog Skullcap; Virginian Skullcap; Side-Flowering Scullcap,779,"Diggs, Lipscomb & O'Kennon 1999, p. 779"
Scutellaria,ovata,species,,Scutellaria ovata,Egg-Leaf Skullcap,779,"Diggs, Lipscomb & O'Kennon 1999, p. 779"
Scutellaria,ovata,subspecies,bracteata,Scutellaria ovata subsp. bracteata,Tuber Skullcap,779,"Diggs, Lipscomb & O'Kennon 1999, p. 779"
