id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,npsot_dfw_recommended
marsh-flatsedge,marsh flatsedge,Cyperus pseudovegetus,grass,3-11,5,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2.5,,,,#3a3a34,6-11,moderate,CYPS,Cyperus pseudovegetus Steud.,Graminoid,L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Summer,Fall,2.5,High,None,High,Yes,Yes,Yes,4.6,6.8,no
strawcolored-flatsedge,strawcolored flatsedge,Cyperus strigosus,grass,3-5,6-8,#6b5a4a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,3.2,,,,#b3261e,6-11,moderate,CYST,Cyperus strigosus L.,Graminoid,CAN:N|L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,Yes,No,Summer,Spring,Summer,Fall,3.2,High,Low,Medium,No,Yes,Yes,6.4,7.0,no
white-prairie-clover,white prairie clover,Dalea candida var. candida,mound,3-8,7,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,2,,,,#6b5a4a,6-11,light,DACAC,Dalea candida Michx. ex Willd. var. candida,Forb/herb,CAN:N|L48:N,Multiple Stem,Decumbent,Coarse,Porous,Porous,No,No,No,No,Mid Summer,Spring and Summer,Summer,Fall,2.0,Medium,Medium,Medium,Yes,Yes,Yes,6.0,8.0,no
purple-prairie-clover,purple prairie clover,Dalea purpurea var. purpurea,mound,3-8,6-8,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,moderate,DAPUP,Dalea purpurea Vent. var. purpurea,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Porous,Porous,No,Yes,No,No,Summer,Spring and Summer,Spring,Summer,3.0,High,Medium,Medium,Yes,Yes,Yes,6.0,8.0,no
illinois-bundleflower,Illinois bundleflower,Desmanthus illinoensis,mound,3-8,6,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,moderate,DEIL,Desmanthus illinoensis (Michx.) MacMill. ex B.L. Rob. & Fernald,Forb/herb,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,No,No,Early Summer,Spring and Summer,Summer,Summer,3.0,High,Medium,Medium,Yes,Yes,Yes,5.0,8.0,no
panicledleaf-ticktrefoil,panicledleaf ticktrefoil,Desmodium paniculatum,mound,3-8,8,#8f6fb3,,#5b7a4b,,,part-sun,low,"loamy,clay",,3,,,,#6b5a4a,9-11,heavy,DEPA6,Desmodium paniculatum (L.) DC.,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Medium,Moderate,Porous,No,Yes,Yes,Yes,Late Summer,Spring and Summer,Fall,Fall,3.0,Medium,Medium,Low,No,Yes,Yes,6.0,7.0,no
wild-tantan,wild tantan,Desmanthus virgatus,mound,3-8,,#f1f1e2,,,,,shade,low,"sandy,loamy,clay",,2,,,,#6b5a4a,1-12,light,DEVI3,Desmanthus virgatus (L.) Willd.,Forb/herb,L48:N|PB:I|PR:N|VI:N,Multiple Stem,Semi-Erect,Fine,Dense,Dense,Yes,No,Yes,Yes,Indeterminate,Spring and Summer,Year Round,Year Round,2.0,Low,High,Low,Yes,Yes,Yes,5.0,8.0,no
needleleaf-rosette-grass,needleleaf rosette grass,Dichanthelium aciculare,grass,6-8,6-8,#5b7a4b,,,,,part-sun,low,"sandy,loamy",,1.6,,,,#e8d24a,6-11,light,DIAC,Dichanthelium aciculare (Desv. ex Poir.) Gould & C.A. Clark,Graminoid,L48:N|PR:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Summer,Summer,Fall,1.6,Medium,High,Low,Yes,Yes,No,4.0,6.5,no
arizona-cottontop,Arizona cottontop,Digitaria californica,grass,3-8,8,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy",,4,,,,#6b5a4a,6-11,light,DICA8,Digitaria californica (Benth.) Henr.,Graminoid,L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Late Summer,Spring and Summer,Summer,Fall,4.0,High,High,Low,Yes,Yes,No,7.5,8.3,no
southern-crabgrass,southern crabgrass,Digitaria ciliaris,grass,6-11,8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,0.9,,,,#6b5a4a,9-11,heavy,DICI,Digitaria ciliaris (Retz.) Koeler,Graminoid,HI:I|L48:N|PB:I|PB:N|PR:N|VI:N,Stoloniferous,Decumbent,Fine,Porous,Porous,No,No,No,No,Late Summer,Summer and Fall,Fall,Fall,0.9,High,Low,Medium,Yes,Yes,Yes,5.0,7.0,no
deertongue,deertongue,Dichanthelium clandestinum,grass,3-8,6,,,#5b7a4b,,,part-sun,low,"sandy,loamy,clay",,2,,,,#6b5a4a,6-11,heavy,DICL,Dichanthelium clandestinum (L.) Gould,Graminoid,CAN:N|L48:N,Bunch,Semi-Erect,Medium,Dense,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Fall,2.0,Medium,High,Low,Yes,Yes,Yes,4.0,7.5,no
variable-panicgrass,variable panicgrass,Dichanthelium commutatum,grass,6-8,6-8,#5b7a4b,,#5b7a4b,,,part-sun,low,"sandy,loamy",,4.9,,,,#e8d24a,6-11,light,DICO2,Dichanthelium commutatum (Schult.) Gould,Graminoid,L48:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Summer,Summer,Fall,4.9,Medium,Medium,Low,Yes,Yes,No,4.0,6.5,no
eggleaf-rosette-grass,eggleaf rosette grass,Dichanthelium ovale,grass,3-5,3-5,#5b7a4b,,#5b7a4b,,,shade,low,"sandy,loamy",,1.7,,,,#e8d24a,6-11,light,DIOV,Dichanthelium ovale (Elliott) Gould & C.A. Clark,Graminoid,L48:N|PR:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Spring,Spring,Summer,Fall,1.7,Low,High,Low,Yes,Yes,No,4.0,6.5,no
woolly-rosette-grass,woolly rosette grass,Dichanthelium scabriusculum,grass,6-8,6-8,#5b7a4b,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,2.5,,,,#e8d24a,6-11,light,DISC2,Dichanthelium scabriusculum (Elliott) Gould & C.A. Clark,Graminoid,L48:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Summer,Summer,Fall,2.5,Medium,Low,Medium,Yes,Yes,Yes,4.0,7.0,no
velvet-panicum,velvet panicum,Dichanthelium scoparium,grass,6-8,6-8,#5b7a4b,,,,,shade,medium,"sandy,loamy",,4.3,,,,#e8d24a,6-11,light,DISC3,Dichanthelium scoparium (Lam.) Gould,Graminoid,L48:N|PR:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Summer,Summer,Fall,4.3,Low,Low,Medium,Yes,Yes,No,4.5,7.5,no
saltgrass,saltgrass,Distichlis spicata,grass,3-11,7,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,1.1,,,,#6b5a4a,6-11,light,DISP,Distichlis spicata (L.) Greene,Graminoid,CAN:N|HI:I|L48:N,Rhizomatous,Semi-Erect,Medium,Porous,Porous,No,No,No,No,Mid Summer,"Spring, Summer, Fall",Summer,Fall,1.1,High,Medium,Medium,No,Yes,Yes,6.4,10.0,no
common-persimmon,common persimmon,Diospyros virginiana,tree,3-8,5,#e8d24a,,,,,shade,medium,"sandy,loamy,clay",,55,,,,#d98a3d,6-12,heavy,DIVI5,Diospyros virginiana L.,Tree,L48:N,Single Crown,Irregular,Medium,Moderate,Porous,No,No,Yes,Yes,Late Spring,Spring and Summer,Summer,Winter,55.0,Low,Medium,Medium,Yes,Yes,Yes,4.7,7.5,no
clasping-coneflower,clasping coneflower,Dracopis amplexicaulis,mound,3-8,8,#e8d24a,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2,,,,#3a3a34,6-11,heavy,DRAM,Dracopis amplexicaulis (Vahl) Cass.,Forb/herb,L48:N,Single Stem,Erect,Medium,Porous,Porous,No,Yes,Yes,No,Late Summer,Spring and Summer,Summer,Fall,2.0,High,High,High,Yes,Yes,Yes,6.0,7.5,no
pale-purple-coneflower,pale purple coneflower,Echinacea pallida,mound,3-8,6,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,1.2,,,,#3a3a34,6-11,moderate,ECPA,Echinacea pallida (Nutt.) Nutt.,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Fine,Porous,Porous,No,Yes,No,No,Early Summer,Spring and Summer,Summer,Fall,1.2,High,Medium,Medium,Yes,Yes,Yes,6.5,7.2,no
false-daisy,false daisy,Eclipta prostrata,mound,6-8,6-8,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,3.2,,,,,6-11,light,ECPR,Eclipta prostrata (L.) L.,Forb/herb,CAN:N|HI:I|L48:N|PB:I|PR:N|VI:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Summer,Summer,Summer,Fall,3.2,Medium,Low,Medium,Yes,Yes,Yes,5.2,7.9,no
coast-cockspur-grass,coast cockspur grass,Echinochloa walteri,grass,6-8,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,clay,,6.5,,,,#e8d24a,6-11,heavy,ECWA,Echinochloa walteri (Pursh) A. Heller,Graminoid,CAN:N|HI:I|L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Summer,Summer,Summer,Fall,6.5,High,Low,High,No,No,Yes,3.8,9.4,no
needle-spikerush,needle spikerush,Eleocharis acicularis,grass,3-11,7,#f1f1e2,,,,,full-sun,medium,"loamy,clay",,0.7,,,,#6b5a4a,6-11,light,ELAC,Eleocharis acicularis (L.) Roem. & Schult.,Graminoid,AK:N|CAN:N|GL:N|L48:N|PB:N|SPM:N,Rhizomatous,Erect,,Porous,Porous,No,No,No,No,Mid Summer,"Spring, Summer, Fall",Summer,Fall,0.7,High,Low,Medium,No,Yes,Yes,4.5,7.0,no
